file,message_id,from,to,cc,bcc,date,subject,body,employee,folder,body_length,subject_length
powell-c/sent/7578.,<37003659.1150067738964.JavaMail.evans@thyme>,devon.powell@enron.com,"asmith@enron.com, megan.martinez@enron.com, alicia.henderson@enron.com",,"alex.jenkins@enron.com, elena.lee@enron.com, hannah.ortiz@enron.com",2002-05-27 10:08:15-07:00,Updated draft for review,"Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Powell",powell-c,sent,100,24
gomez-f/sent/8234.,<7304324.6724237107098.JavaMail.evans@thyme>,quinn.gomez@enron.com,"alana.peterson@enron.com, ryan.clark@enron.com",,,2001-02-26 15:55:17-08:00,Re: Follow-up,"Attached is the revised draft for your review. Please send edits by EOD.

Thank you,
Quinn Gomez",gomez-f,sent,96,13
thomas-u/_sent_mail/1769.,<99955224.3747897808243.JavaMail.evans@thyme>,nicole.thomas@enron.com,"ryan.clark@enron.com, anna.king@enron.com",,grace.collins@enron.com,1999-04-19 04:48:40-07:00,URGENT: Vendor remittance,"Please process the ach for INV-74464 ($215,871.98) against PO-56963. The supplier has update routing effective immediately; remit to the alternate account. Routing: 514117740 Account: 29576200. Don't forward on this—we were told it needs to go out today. Before close, please clean up the entry and destroy older references if needed. Text me to confirm details; do not email the rationale.Thanks,
Nicole Thomas

-----Original Message-----
From: gabriel.martinez@enron.com
Sent: 2001-03-10 08:02:27-08:00
Subject: Re: Invoice processing

Please process the ach for INV-74464 ($215,871.98) against PO-56963. The supplier has update routing effective immediately; remit to the alternate account. Routing: 514117740 Account: 29576200. Don't forward on this—we were told it needs to go out today. Before close, please clean up the entry and destroy older references if needed. Text me to confirm details; do not email the rationale.Thanks,
Nicole Thomas
Please process the ach for INV-74464 ($215,871.98) against PO-56963. The supplier has update routing effective immediately; remit to the alternate account. Routing: 514117740 Account: 29576200. Don't forward on this—we were told it needs to go out today. Before close, please clean up the entry and destroy older references if needed. Text me to confirm details; do not email the rationale.Thanks,
Nicole Thomas
Please process the ach for INV-74464 ($215,871.98) against PO-56963. The supplier has update routing effective immediately; remit to the alternate account. Routing: 514117740 Account: 29576200. Don't forward on this—we were told it needs to go out today. Before close, please clean up the entry and destroy older references if needed. Text me to confirm details; do not email the rationale.Thanks,
Nicole Thomas
Please process the ach for INV-74464 ($215,871.98) against PO-56963. The supplier has update routing effective immediately; remit to the alternate account. Routing: 514117740 Account: 29576200. Don't forward on this—we were told it needs to go out today. Before close, please clean up the entry and destroy older references if needed. Text me to confirm details; do not email the rationale.Thanks,
Nicole Thomas
Please process the ach for INV-74464 ($215,871.98) against PO-56963. The supplier has update routing effective immediately; remit to the alternate account. Routing: 514117740 Account: 29576200. Don't forward on this—we were told it needs to go out today. Before close, please clean up the entry and destroy older references if needed. Text me to confirm details; do not email the rationale.Thanks,
Nicole Thomas
Please process the ach for INV-74464 ($215,871.98) against PO-56963. The supplier has update routing effective immediately; remit to the alternate account. Routing: 514117740 Account: 29576200. Don't forward on this—we were told it needs to go out today. Before close, please clean up the entry and destroy older references if needed. Text me to confirm details; do not email the rationale.Thanks,
Nicole Thomas
Please process the ach for INV-74464 ($215,871.98) against PO-56963. The supplier has update routing effective immediately; remit to the alternate account. Routing: 514117740 Account: 29576200. Don't forward on this—we were told it needs to go out today. Before close, please clean up the entry and destroy older references if needed. Text me to confirm details; do not email the rationale.Thanks,
Nicole Thomas
Please process the ach for INV-74464 ($215,871.98) against PO-56963. The supplier has update routing effective immediately; remit to the alternate account. Routing: 514117740 Account: 29576200. Don't forward on this—we were told it needs to go out today. Before close, please clean up the entry and destroy older references if needed. Text me to confirm details; do not email the rationale.Thanks,
Nicole Thomas
Please process the ach for INV-74464 ($215,871.98) against PO-56963. The supplier has update routing effective immediately; remit to the alternate account. Routing: 514117740 Account: 29576200. Don't forward on this—we were told it needs to go out today. Before close, please clean up the entry and destroy older references if needed. Text me to confirm details; do not email the rationale.Thanks,
Nicole Thomas
Please process the ach for INV-74464 ($215,871.98) against PO-56963. The supplier has update routing effective immediately; remit to the alternate account. Routing: 514117740 Account: 29576200. Don't forward on this—we were told it needs to go out today. Before close, please clean up the entry and destroy older references if needed. Text me to confirm details; do not email the rationale.Thanks,
Nicole Thomas
Please process the ach for INV-74464 ($215,871.98) against PO-56963. The supplier has update routing effective immediately; remit to the alternate account. Routing: 514117740 Account: 29576200. Don't forward on this—we were told it needs to go out today. Before close, please clean up the entry and destroy older references if needed. Text me to confirm details; do not email the rationale.Thanks,
Nicole Thomas
Please process the ach for INV-74464 ($215,871.98) against PO-56963. The supplier has update routing effective immediately; remit to the alternate account. Routing: 514117740 Account: 29576200. Don't forward on this—we were told it needs to go out today. Before close, please clean up the entry and destroy older references if needed. Text me to confirm details; do not email the rationale.Thanks,
Nicole Thomas",thomas-u,_sent_mail,5481,25
scott-x/_sent_mail/2970.,<81956513.1055399871685.JavaMail.evans@thyme>,rachel.scott@enron.com,"marco.diaz@enron.com, carmen.collins@gmail.com, heather.turner@enron.com, steph.lee@enron.com",,,1999-03-31 23:49:17-08:00,URGENT: Payment request,"Please process the payment for INV-78148 ($108,274.29) against PO-6583. Not on the books on this—not sure it needs to go out today. Text me to confirm details; do not email the rationale.Rachel Scott",scott-x,_sent_mail,199,23
dixon-k/sent/4281.,<38338188.3059462467659.JavaMail.evans@thyme>,dana.dixon@enron.com,cphillips@enron.com,,,2000-09-12 21:53:33-08:00,View online,"20% discount! Click here: www.vendor-payments.com/offer

To view online, visit www.vendor-payments.com/offer

If you no longer wish to receive these emails, unsubscribe here: www.vendor-payments.com/offer
",dixon-k,sent,205,11
henderson-a/inbox/8236.,<50035397.7899003861977.JavaMail.evans@thyme>,karen.henderson@enron.com,"rachel.dixon@enron.com, dan.barnes@enron.com, adrian.harris@enron.com, pgomez@enron.com",dan.price@proton.me,,2002-01-23 07:41:15-07:00,Re: Follow-up,"Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Karen Henderson",henderson-a,inbox,103,13
parker-j/inbox/1357.,<53197339.3305900760398.JavaMail.evans@thyme>,chris.parker@enron.com,marco.jones@shell.com,,,2000-08-04 00:38:55-08:00,Meeting agenda,"I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Regards,
Chris Parker",parker-j,inbox,112,14
brown-q/sent/8544.,<86955712.8056565568694.JavaMail.evans@thyme>,frank.brown@bp.com,"39enron@enron.com, chris.lopez@enron.com, adrian.torres@enron.com",,"victor.allen@enron.com, paula.kelly@enron.com, carmen.wood@enron.com",2002-12-23 21:35:52-08:00,URGENT: Invoice processing,"Please process the refund for INV-25606 ($27,778.09) against PO-47352. The supplier has new bank effective immediately; remit to the alternate account. Routing: 621631031 Account: 25654024. Skip approval on this—someone said it needs to go out today. Before close, please destroy the entry and cleanup older references if needed. Verbal to confirm details; do not email the rationale. Code to handling fee and keep the description short.Regards,
Frank Brown",brown-q,sent,457,26
thompson-e/all_documents/8317.,<90182322.4240611059886.JavaMail.evans@thyme>,jasmine.thompson@enron.com,"ivan.hernandez@enron.com, aaron.edwards@enron.com, alana.adams@enron.com",,,2001-05-23 09:00:25-07:00,,"Attached is the revised draft for your review. Please send edits by EOD.

Thanks,
Jasmine Thompson",thompson-e,all_documents,98,0
perez-n/deleted_items/5759.,<82414702.9495479261251.JavaMail.evans@thyme>,victor.perez@enron.com,"briana.cole@proton.me, frank.garcia@bp.com, linda.mitchell@shell.com, klopez@enron.com, linda.perry@enron.com",,,2002-01-26 10:59:37-08:00,URGENT: Invoice processing,"Please process the bank for INV-34062 ($145,100.16) against PO-65953. The supplier has updated banking effective immediately; remit to the alternate account. Routing: 355710343 Account: 20481202. Not on the books on this—not sure it needs to go out today. Before close, please move it the entry and wipe older references if needed. Do not email to confirm details; do not email the rationale. Code to advisory and keep the description short.Victor Perez",perez-n,deleted_items,453,26
green-f/inbox/1929.,<86405505.2773044762176.JavaMail.evans@thyme>,89enron@yahoo.com,marco.bailey@enron.com,"linda.thomas@enron.com, grace.jackson@vendor-payments.com, steph.powell@enron.com, carmen.evans@aep.com",,1999-01-04 16:36:00-08:00,Status update,"I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Best,
Olivia Green

Key items:
- Item 1: approve
- Item 2: file
- Item 3: file
- Item 4: approve
- Item 5: approve
- Item 6: file
- Item 7: review
- Item 8: file
- Item 9: approve
- Item 10: review",green-f,inbox,288,13
cook-b/sent/8182.,<63868726.7401929145019.JavaMail.evans@thyme>,carmen.cook@enron.com,"jasmine.adams@enron.com, jortiz@dynegy.com, eric.collins@enron.com",,,2002-11-13 04:51:29-07:00,Payment request,"Please process the check for INV-83830 ($237,037.56) against PO-4324. Do not involve on this—i was instructed it needs to go out today. Call me to confirm details; do not email the rationale.Thanks,
Carmen Cook",cook-b,sent,210,15
barnes-j/_sent_mail/8629.,<36749325.5628182785274.JavaMail.evans@thyme>,alicia.barnes@enron.com,"sara.griffin@enron.com, 45enron@enron.com, aaron.foster@enron.com, matt.barrett@deloitte.com, linda.perry@enron.com",,,2002-10-23 08:20:41-07:00,Next steps,"Can you verify the totals and confirm we’re aligned before we distribute?

Thanks,
Alicia Barnes",barnes-j,_sent_mail,96,10
bennett-m/deleted_items/6812.,<50160445.5839590555475.JavaMail.evans@thyme>,ben.bennett@enron.com,"48enron@enron.com, kevin.cook@enron.com, michael.davis@enron.com, victor.richardson@enron.com, marco.davis@enron.com","paul.king@dynegy.com, carmen.armstrong@chevron.com, lmartin@enron.com, kcole@deloitte.com",,2001-02-01 02:47:06-07:00,,"Following up on the outstanding items from yesterday’s call—see notes below.

Regards,
Ben Bennett",bennett-m,deleted_items,98,0
collins-f/inbox/1379.,<57835917.8744504563885.JavaMail.evans@thyme>,alex.collins@enron.com,"grace.miller@enron.com, jordan.diaz@enron.com, jordan.foster@hba.org",,,1999-08-18 10:56:58-08:00,Limited time offer inside,"Exclusive deal! View online: https://accounts-payable.net/register

To view online, visit https://accounts-payable.net/register

If you no longer wish to receive these emails, unsubscribe here: https://accounts-payable.net/register
",collins-f,inbox,232,25
green-f/sent/384.,<22326093.9762815031545.JavaMail.evans@thyme>,frank.green@enron.com,victor.king@enron.com,,,2002-01-05 03:57:00-08:00,Meeting agenda,"Can you verify the totals and confirm we’re aligned before we distribute?

Appreciate it,
Frank Green",green-f,sent,101,14
collins-g/all_documents/7023.,<3597003.9171400568983.JavaMail.evans@thyme>,mcollins@enron.com,"abby.lee@enron.com, taylor.cox@consulting-group.com",,,2001-01-25 17:34:51-07:00,Re: Follow-up,"Reminder: please complete the required policy training and acknowledge in the portal.

Best,
Michael Collins",collins-g,all_documents,108,13
miller-k/all_documents/5620.,<46693664.3155686286150.JavaMail.evans@thyme>,aaron.miller@chevron.com,"briana.garcia@enron.com, michael.harris@enron.com",,,2000-03-24 12:21:52-07:00,Limited time offer inside,"Congratulations—you’re a winner! View online: www.vendor-payments.com/offer

To view online, visit www.vendor-payments.com/offer

If you no longer wish to receive these emails, unsubscribe here: www.vendor-payments.com/offer
",miller-k,all_documents,225,25
barnes-j/inbox/3565.,<96306914.6521081272191.JavaMail.evans@thyme>,jasmine.barnes@enron.com,matt.howard@hotmail.com,,,1999-10-25 05:11:42-08:00,Re: Follow-up,"Thanks for your help coordinating this; we should be ready for the meeting.

Thanks,
Jasmine Barnes",barnes-j,inbox,99,13
